29.03.2026 12:31:48 | INFO | kaleido.kaleido | All navigates done, putting them all in queue.
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Getting tab from queue (has 1)
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Got 50D7
29.03.2026 12:31:48 | INFO | kaleido._kaleido_tab | Processing SBER_15min__Doji_.png
29.03.2026 12:31:48 | INFO | kaleido._kaleido_tab | Sending big command for SBER_15min__Doji_.png.
29.03.2026 12:31:48 | INFO | kaleido._kaleido_tab | Sent big command for SBER_15min__Doji_.png.
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Reloading tab 50D7 before return.
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Putting tab 50D7 back (queue size: 0).
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Waiting for all cleanups to finish.
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Exiting Kaleido
29.03.2026 12:31:48 | INFO | choreographer.browser_async | Closing browser.
29.03.2026 12:31:48 | INFO | choreographer.browser_async | Closing browser.
29.03.2026 12:31:48 | INFO | choreographer.utils._tmpfile | TemporaryDirectory.cleanup() worked.
29.03.2026 12:31:48 | INFO | choreographer.utils._tmpfile | shutil.rmtree worked.
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Cancelling tasks.
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Exiting Kaleido/Choreo
29.03.2026 12:31:48 | INFO | choreographer.utils._tmpfile | TemporaryDirectory.cleanup() worked.
29.03.2026 12:31:48 | INFO | choreographer.utils._tmpfile | shutil.rmtree worked.
29.03.2026 12:31:48 | INFO | choreographer.utils._tmpfile | TemporaryDirectory.cleanup() worked.
29.03.2026 12:31:48 | INFO | choreographer.utils._tmpfile | shutil.rmtree worked.
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Cancelling tasks.
29.03.2026 12:31:48 | INFO | kaleido.kaleido | Exiting Kaleido/Choreo
29.03.2026 12:32:19 | INFO | choreographer.utils._tmpfile | TemporaryDirectory.cleanup() worked.
29.03.2026 12:32:19 | INFO | choreographer.utils._tmpfile | shutil.rmtree worked.
